category,autor,obra
Expresionismo abstracto,Jackson Pollock,Ritmo de otoño número 30
Expresionismo abstracto,Jackson Pollock,Número 1A 1948
Expresionismo abstracto,Mark Rothko,Nº 61 óxido y azul
Expresionismo abstracto,Mark Rothko,Naranja rojo amarillo
Expresionismo abstracto,Willem de Kooning,Mujer I
Art Nouveau,Antoni Gaudí,Sagrada Familia
Art Nouveau,Gustav Klimt,Retrato de Adele Bloch-Bauer I
Art Nouveau,Gustav Klimt,El beso
Barroco,Caravaggio,Judith decapitando a Holofernes
Barroco,Caravaggio,La vocación de San Mateo
Barroco,Diego Velázquez,Las Meninas
Barroco,Gian Lorenzo Bernini,Apolo y Dafne
Barroco,Gian Lorenzo Bernini,David
Barroco,Gian Lorenzo Bernini,Éxtasis de Santa Teresa
Barroco,Johannes Vermeer,La joven de la perla
Barroco,Peter Paul Rubens,El descendimiento de la cruz
Barroco,Rembrandt,La ronda de noche
Barroco,Rembrandt,El regreso del hijo pródigo
Cubismo,Georges Braque,Casas en L'Estaque
Cubismo,Juan Gris,Retrato de Picasso
Cubismo,Pablo Picasso,Muchacha ante el espejo
Cubismo,Pablo Picasso,Guernica
Cubismo,Pablo Picasso,Las señoritas de Avignon
Primer Renacimiento,Fra Angelico,La Anunciación
Primer Renacimiento,Masaccio,La Santísima Trinidad
Primer Renacimiento,Sandro Botticelli,La Primavera
Primer Renacimiento,Sandro Botticelli,El nacimiento de Venus
Expresionismo,Edvard Munch,El grito
Expresionismo,Egon Schiele,Autorretrato con physalis
Expresionismo,Ernst Ludwig Kirchner,Calle de Berlín
Expresionismo,Wassily Kandinsky,Composición VII
Alto Renacimiento,Leonardo da Vinci,La Mona Lisa
Alto Renacimiento,Leonardo da Vinci,La Última Cena
Alto Renacimiento,Leonardo da Vinci,Hombre de Vitruvio
Alto Renacimiento,Miguel Ángel,David
Alto Renacimiento,Miguel Ángel,Piedad
Alto Renacimiento,Miguel Ángel,La creación de Adán
Alto Renacimiento,Rafael,La Madonna Sixtina
Alto Renacimiento,Rafael,La escuela de Atenas
Impresionismo,Berthe Morisot,La cuna
Impresionismo,Claude Monet,Impresión sol naciente
Impresionismo,Claude Monet,Nenúfares
Impresionismo,Claude Monet,Mujer con sombrilla
Impresionismo,Edgar Degas,La clase de danza
Impresionismo,Édouard Manet,Un bar en el Folies-Bergère
Impresionismo,Édouard Manet,Olympia
Impresionismo,Pierre-Auguste Renoir,Baile en el Moulin de la Galette
Escultura moderna,Alberto Giacometti,Hombre caminando I
Escultura moderna,Auguste Rodin,Los burgueses de Calais
Escultura moderna,Auguste Rodin,El beso
Escultura moderna,Auguste Rodin,El pensador
Escultura moderna,Constantin Brâncuși,Pájaro en el espacio
Escultura moderna,Constantin Brâncuși,Columna infinita
Escultura moderna,Henry Moore,Figura reclinada
Neoclasicismo,Antonio Canova,Psique reanimada por el beso de Cupido
Neoclasicismo,Jacques-Louis David,El juramento de los Horacios
Neoclasicismo,Jacques-Louis David,La muerte de Marat
Neoclasicismo,Jean-Auguste-Dominique Ingres,La gran odalisca
Renacimiento del norte,Albrecht Dürer,Melancolía I
Renacimiento del norte,Hieronymus Bosch,El jardín de las delicias
Renacimiento del norte,Jan van Eyck,El matrimonio Arnolfini
Renacimiento del norte,Pieter Bruegel el Viejo,Cazadores en la nieve
Pop Art,Andy Warhol,Latas de sopa Campbell
Pop Art,Andy Warhol,Díptico de Marilyn
Pop Art,Roy Lichtenstein,Whaam!
Postimpresionismo,Georges Seurat,Tarde de domingo en la isla de la Grande Jatte
Postimpresionismo,Paul Cézanne,Los jugadores de cartas
Postimpresionismo,Paul Gauguin,De dónde venimos qué somos a dónde vamos
Postimpresionismo,Vincent van Gogh,Girasoles
Postimpresionismo,Vincent van Gogh,El dormitorio
Postimpresionismo,Vincent van Gogh,La noche estrellada
Realismo,Gustave Courbet,Un entierro en Ornans
Realismo,Gustave Courbet,Los picapedreros
Realismo,Jean-François Millet,Las espigadoras
Escultura renacentista,Donatello,David
Escultura renacentista,Lorenzo Ghiberti,Puertas del Paraíso
Escultura renacentista,Andrea del Verrocchio,Estatua ecuestre de Bartolomeo Colleoni
Rococó,Antoine Watteau,Peregrinación a Citera
Rococó,François Boucher,Diana después del baño
Rococó,Jean-Honoré Fragonard,El columpio
Romanticismo,Caspar David Friedrich,Caminante sobre el mar de nubes
Romanticismo,Eugène Delacroix,La libertad guiando al pueblo
Romanticismo,Francisco Goya,Sátuno devorando a su hijo
Romanticismo,Francisco Goya,El tres de mayo de 1808
Romanticismo,J. M. W. Turner,El Temerario remolcado a dique seco
Surrealismo,Max Ernst,El elefante Celebes
Surrealismo,René Magritte,El hijo del hombre
Surrealismo,René Magritte,La traición de las imágenes
Surrealismo,Salvador Dalí,Cisnes reflejando elefantes
Surrealismo,Salvador Dalí,La persistencia de la memoria
Simbolismo,Arnold Böcklin,La isla de los muertos
Simbolismo,Gustave Moreau,Júpiter y Sémele
Simbolismo,Odilon Redon,El cíclope
