category,pais,capital
Africa,Argelia,Argel
Africa,Angola,Luanda
Africa,Benin,Porto-Novo
Africa,Botsuana,Gaborone
Africa,Burkina Faso,Ouagadougou
Africa,Burundi,Gitega
Africa,Cabo Verde,Praia
Africa,Camerun,Yaundé
Africa,Republica Centroafricana,Bangui
Africa,Chad,Ndjamena
Africa,Comoras,Moroni
Africa,Costa de Marfil,Yamusukro
Africa,Republica Democratica del Congo,Kinsasa
Africa,Yibuti,Yibuti
Africa,Egipto,El Cairo
Africa,Guinea Ecuatorial,Malabo
Africa,Eritrea,Asmara
Africa,Esuatini,Mbabane
Africa,Etiopia,Adis Abeba
Africa,Gabon,Libreville
Africa,Ghana,Accra
Africa,Guinea,Conakri
Africa,Guinea-Bisau,Bisau
Africa,Kenia,Nairobi
Africa,Lesoto,Maseru
Africa,Liberia,Monrovia
Africa,Libia,Tripoli
Africa,Madagascar,Antananarivo
Africa,Malaui,Lilongüe
Africa,Mali,Bamako
Africa,Mauritania,Nuakchot
Africa,Mauricio,Port Louis
Africa,Marruecos,Rabat
Africa,Mozambique,Maputo
Africa,Namibia,Vindhoek
Africa,Niger,Niamey
Africa,Nigeria,Abuya
Africa,Republica del Congo,Brazzaville
Africa,Ruanda,Kigali
Africa,Santo Tome y Principe,Santo Tome
Africa,Senegal,Dakar
Africa,Seychelles,Victoria
Africa,Sierra Leona,Freetown
Africa,Somalia,Mogadiscio
Africa,Sudafrica,Pretoria
Africa,Sudan del Sur,Yuba
Africa,Sudan,Jartum
Africa,Tanzania,Dodoma
Africa,Gambia,Banjul
Africa,Togo,Lome
Africa,Tunez,Tunez
Africa,Uganda,Kampala
Africa,Zambia,Lusaka
Africa,Zimbabue,Harare
America,Antigua y Barbuda,Saint John's
America,Argentina,Buenos Aires
America,Bahamas,Nasau
America,Barbados,Bridgetown
America,Belice,Belmopan
America,Bolivia,Sucre
America,Brasil,Brasilia
America,Canada,Ottawa
America,Chile,Santiago
America,Colombia,Bogota
America,Costa Rica,San Jose
America,Cuba,La Habana
America,Dominica,Roseau
