inventor,invento
Alexander Fleming,Penicilina
Alexander Graham Bell,Teléfono
Alessandro Volta,Pila eléctrica
Alfred Nobel,Dinamita
Benjamin Franklin,Pararrayos
Blaise Pascal,Calculadora mecánica
Cai Lun,Papel
Charles Babbage,Máquina analítica
Charles Goodyear,Caucho vulcanizado
Eli Whitney,Desmotadora de algodón
Guglielmo Marconi,Radio
Hedy Lamarr,Espectro ensanchado por salto de frecuencia
Henry Bessemer,Proceso Bessemer
Isaac Singer,Máquina de coser
James Dyson,Aspiradora ciclónica
James Watt,Máquina de vapor mejorada
Johannes Gutenberg,Imprenta de tipos móviles
John Logie Baird,Televisión
Karl Benz,Automóvil
Louis Braille,Sistema Braille
Nikola Tesla,Motor de inducción de corriente alterna
Nikolaus Otto,Motor de cuatro tiempos
Orville y Wilbur Wright,Avión
Philo Farnsworth,Televisión electrónica
Rudolf Diesel,Motor diésel
Samuel Morse,Telégrafo
Stephanie Kwolek,Kevlar
Thomas Edison,Bombilla incandescente práctica
Tim Berners-Lee,World Wide Web
Zacharias Janssen,Microscopio
