category,subcategory,english,spanish,italian
animals,farm,dog,perro,cane
animals,farm,cow,vaca,mucca
animals,farm,horse,caballo,cavallo
animals,farm,sheep,oveja,pecora
animals,pets,cat,gato,gatto
animals,pets,rabbit,conejo,coniglio
animals,pets,hamster,hámster,criceto
food,fruit,apple,manzana,mela
food,fruit,orange,naranja,arancia
food,fruit,banana,plátano,banana
food,fruit,strawberry,fresa,fragola
food,vegetable,carrot,zanahoria,carota
food,vegetable,onion,cebolla,cipolla
food,vegetable,potato,patata,patata
colors,,red,rojo,rosso
colors,,blue,azul,blu
colors,,green,verde,verde
colors,,yellow,amarillo,giallo
colors,,black,negro,nero
colors,,white,blanco,bianco
numbers,,one,uno,uno
numbers,,two,dos,due
numbers,,three,tres,tre
numbers,,four,cuatro,quattro
numbers,,five,cinco,cinque
