compositor,obra
Antonio Vivaldi,Las cuatro estaciones
Antonio Vivaldi,Gloria
Camille Saint-Saëns,Danza macabra
Camille Saint-Saëns,El cisne
Carl Orff,O Fortuna
Claude Debussy,Claro de luna
Claude Debussy,Preludio a la siesta de un fauno
Erik Satie,Gimnopedia nº 1
Franz Joseph Haydn,Sinfonía nº 94 Sorpresa
Franz Liszt,Rapsodia húngara nº 2
Franz Liszt,Sueños de amor nº 3
Franz Schubert,Ave María
Franz Schubert,Sinfonía nº 8 Inacabada
George Frideric Handel,Coro del Aleluya
George Frideric Handel,Música acuática
Giacomo Puccini,Nessun dorma
Giacomo Puccini,O mio babbino caro
Giuseppe Verdi,La donna è mobile
Giuseppe Verdi,Va pensiero
Gustav Holst,Júpiter el portador de la alegría
Gustav Mahler,Sinfonía nº 2 Resurrección
Gustav Mahler,Sinfonía nº 5 Adagietto
Hector Berlioz,Sinfonía fantástica
Igor Stravinsky,Suite El pájaro de fuego
Igor Stravinsky,La consagración de la primavera
Jean Sibelius,Finlandia
Jean Sibelius,Concierto para violín en re menor
Johann Pachelbel,Canon en re
Johann Sebastian Bach,Aire en la cuerda de sol
Johann Sebastian Bach,Concierto de Brandeburgo nº 3
Johann Sebastian Bach,Misa en si menor
Johannes Brahms,Danza húngara nº 5
Johannes Brahms,Sinfonía nº 1
Johann Strauss II,El Danubio azul
Ludwig van Beethoven,Para Elisa
Ludwig van Beethoven,Sonata Claro de luna
Ludwig van Beethoven,Sinfonía nº 5
Ludwig van Beethoven,Sinfonía nº 9
Maurice Ravel,Bolero
Maurice Ravel,Suite Daphnis et Chloé nº 2
Modest Mussorgsky,Noche en el monte Calvo
Modest Mussorgsky,Cuadros de una exposición
Nicolò Paganini,Capricho nº 24
Pyotr Ilyich Tchaikovsky,Suite El cascanueces
Pyotr Ilyich Tchaikovsky,Concierto para piano nº 1
Pyotr Ilyich Tchaikovsky,El lago de los cisnes
Richard Wagner,La cabalgata de las valquirias
Richard Wagner,Preludio de Tristán e Isolda
Robert Schumann,Ensueño
Sergei Prokofiev,Danza de los caballeros
Sergei Prokofiev,Pedro y el lobo
Sergei Rachmaninoff,Concierto para piano nº 2
Sergei Rachmaninoff,Vocalise
Wolfgang Amadeus Mozart,Pequeña serenata nocturna
Wolfgang Amadeus Mozart,Requiem
Wolfgang Amadeus Mozart,Sinfonía nº 40
